name,pid,collaborators_pids
Pedro Pedrosa Rebouças Filho,91/2760,"228/1760,63/11435,67/10788,24/4105-6,l/JaimeLloret,172/8076,172/8176,259/8374,246/6518,10/1483,218/2183,143/0298,211/9729,89/8657,33/8436,208/7460,167/6934,248/1793,201/6726,30/5446,150/1679,23/9794,188/7595,78/9590,271/6685,260/2210,225/1981,83/6158,211/9655,172/8662,205/0478,96/3441,83/5213,286/6033,249/8014,232/9327-1,47/8013,50/7714,278/5768,88/7651,204/3241,213/1706,145/5569,84/4762,280/7283,211/5031,75/2327,202/1503,264/8226,256/0210,176/9912,204/2558,248/1909,s/BiplabSikdar,266/0237,t/JoaoManuelRSTavares,229/8285,273/7456,204/3160,193/6861,238/4664,25/9173,172/8655,273/7566,228/1575,201/6702,209/7569,200/9735,89/4656,218/2208,208/6829,159/2187,264/8671,02/4334,213/1744,71/2978-2,172/7934,228/1643,258/1123,72/3054,217/4373,76/5770,231/4973,07/9766,193/7128,43/3761,238/3609,260/2308,149/9190,87/4441,235/8744,15/1123,211/9546,218/2219,94/8093,25/3419,64/6515,34/9173,275/7907,158/4648,208/6747,191/7614,201/6631,163/4506,270/2854,27/10620,78/744-4,18/8544,242/7382,15/3403,131/3352,264/8692,94/1127"
Aloisio Vieira Lira Neto,225/1981,"283/0931,159/2187,273/7566,84/4762,273/7456,275/7907,91/2760,67/10788,266/0237,213/1744,30/5446,287/3583,47/8013,64/6515,46/10289,204/3160,213/1706,287/3173,280/7283,285/7356,193/6861,238/4664"
Tao Han 0004,78/744-4,"264/8226,259/8374,49/10239,228/1643,l/JaimeLloret,211/5031,285/7356,264/8671,228/1760,286/6033,91/2760,89/8657,14/1570,41/7692,122/2505,125/8189,80/10637,238/3609,46/10289,47/8013,264/8692,256/0210,20/241-15,186/4237,132/9468,232/9327-1,204/3160,240/3351,271/6685,63/11435,b/SungWookBaik,221/4512,130/2606,68/2794,248/2687,205/7268,260/2308,146/0971,157/3343,83/8389,240/3503,139/8420,08/8276,187/1067,62/4318,248/0302,248/0510,75/2327,66/5574,260/2210,193/7128,188/8899,180/0803,186/3610,249/8014,273/7566,150/1679,231/4850,204/2558,76/1820-23,84/5863,159/2187,33/10759,191/7614,44/4000,285/8793,218/2869,265/0037,213/1706,220/7864,49/594,25/1234"
Gabriel Maia Bezerra,275/7907,"64/6515,273/7566,204/3160,67/10788,273/7456,280/7283,225/1981,47/8013,91/2760,193/6861"
Luís Fabrício de F. Souza,259/8374,"211/5031,273/7566,232/9327-1,91/2760,264/8692,204/3160,264/8671,47/8013,191/7614,84/4762,78/744-4,264/8226,249/8014"
Joao Victor Souza das Chagas,280/7283,"91/2760,273/7456,275/7907,225/1981,64/6515,47/8013"
Adriano Bessa Albuquerque,64/6515,"162/1170,47/8013,91/2760,19/5063,73/3347,239/9176,71/8804,75/8725-2,18/10264,87/7376,67/3698,160/9086,275/7907,225/1981,83/5213,25/3419,179/3542,160/8720,160/8866,273/7456,280/7283,177/9063,79/7376"
Elene F. Ohata,273/7456,"275/7907,280/7283,225/1981,64/6515,47/8013,91/2760"
Yongzhao Xu,238/3609,"132/9468,63/11435,221/4512,187/1067,248/0302,248/0510,180/0803,248/2687,228/1643,271/6685,78/744-4,91/2760,08/8276,130/2606,139/8420,20/241-15,220/7864,231/4850,80/10637,228/1760,286/6033,44/4000"
José Neuman de Souza,02/4334,"65/3690,48/91,147/1147,76/11529,s/JacquesPhilippeSauve,06/792,21/9114,88/4289,76/10475,r/OmerFRana,57/7634,256/3404,93/10788,69/1904,16/11086,91/6974,165/8186,151/5214,204/5904,123/3826,s/BiplabSikdar,131/5507,20/369,201/4222,m/EdmundoRobertoMauroMadeira,279/2064,00/7946,g/LPGaspary,36/10735,62/3732,171/2558,47/772,136/4290,44/7892,133/3753,164/8063,61/7821,49/594,248/1909,47/8013,67/10788,91/2760,y/QiangYang4,l/AntonioAlfredoFerreiraLoureiro,18/4139,16/1455,27/729,07/9766,07/8753,71/2463,04/5632,68/10788,04/162,28/1189,31/3704,31/6913,82/3243,142/4632,61/6138,88/6376,125/8102,122/5098,14/2269,31/2788,h/JamesWonKiHong,32/4359,85/7266,85/1889,09/4470,137/8716,m/ConstandinosXMavromoustakis,126/6814,z/AlbertYZomaya,204/6143,143/1079,l/JaimeLloret,180/2069,73/2285,52/4475,63/3457,70/6828,76/9779,50/943,77/3282,02/3940,96/10809,79/1256,133/3769,16/9780,171/5407,92/8752,74/5034,50/7714,158/4648,37/3973,08/5956,91/1113,27/6418,66/2701,l/PascalLorenz,76/4975,224/9575,25/3100,84/5587,191/5775,64/6025-58,24/6281-1"
Pedro Henrique Feijo de Sousa,228/1643,"271/6685,63/11435,91/2760,72/3054,238/3609,78/744-4,286/6033,258/1123,47/8013,228/1760"
Tiago Carneiro 0001,07/9766,"248/1909,158/4648,74/3045,193/7128,89/4656,208/6829,50/7714,91/2760,178/0659,80/3976,229/8285,67/10788,47/8013,32/1402,02/4334,s/BiplabSikdar,m/NouredineMelab,24/4105-6,15/3403,143/0298"
Marcos Aurelio A. Ferreira Junior,249/8014,"264/8226,259/8374,264/8671,264/8692,232/9327-1,91/2760,78/744-4"
Chuanyu Jia,286/6033,"63/11435,78/744-4,91/2760,238/3609,228/1760,228/1643,271/6685"
Bismark C. Torrico,63/11435,"247/4568,247/4407,187/8801,255/3590,238/3609,271/6685,247/4383,247/4247,135/4247,95/7054,80/3483,93/11047,286/6033,293/3553,91/2760,68/819,175/8889,90/7053,228/1760,228/1643,219/1755,40/952,29/6913,115/8444,78/744-4"
